id,runtime,status,elapsed,consumed
67216282763657216,test2_1-0,Finished,45384,16394
67216290749612032,test5_1-1_o,Finished,12006,0
67216284776923136,test2_1-0,Finished,43336,16067
67216288065257472,test3_1-1,Finished,47634,16650
67216288870563840,test3_1-1,Finished,44414,16262
67216286446256128,test4_1-0_o,Finished,11005,0
67216290539896832,test6_0-0_o,Finished,52421,19603
67216285372514304,test1_0-0,Finished,42532,16076
67216291320037376,test2_1-0,Finished,43462,16108
67216283636072448,test3_1-1,Finished,42644,15726
67216286471421952,test5_1-1_o,Finished,12012,0
67216282059014144,test2_1-0,Finished,39655,15690
67216289902362624,test1_0-0,Finished,43560,16398
67216289130610688,test6_0-0_o,Finished,54690,20270
67216284483321856,test4_1-0_o,Finished,11003,0
67216291244539904,test6_0-0_o,Finished,50726,19321
67216284659482624,test5_1-1_o,Finished,12006,0
67216282914652160,test2_1-0,Finished,41385,15811
67216285900996608,test3_1-1,Finished,45498,16485
67216282553942016,test1_0-0,Finished,43831,16476
67216288711180288,test4_1-0_o,Finished,11009,0
67216284961472512,test5_1-1_o,Finished,12010,0
67216289482932224,test6_0-0_o,Finished,52142,19318
67216285297016832,test3_1-1,Finished,45082,16326
67216282201620480,test1_0-0,Finished,43786,16373
67216284734980096,test4_1-0_o,Finished,11013,0
67216285213130752,test5_1-1_o,Finished,12011,0
67216291169042432,test2_1-0,Finished,43847,16197
67216283845787648,test6_0-0_o,Finished,53599,19255
67216286597251072,test4_1-0_o,Finished,11015,0
67216291462643712,test1_0-0,Finished,42983,16300
67216286303649792,test3_1-1,Finished,45748,16174
67216284399435776,test6_0-0_o,Finished,50943,19513
67216282293895168,test5_1-1_o,Finished,12005,0
67216286706302976,test3_1-1,Finished,43035,16056
67216287670992896,test6_0-0_o,Finished,47238,19252
67216288493076480,test1_0-0,Finished,41730,16257
67216282562330624,test2_1-0,Finished,45463,16424
67216291076767744,test4_1-0_o,Finished,11005,0
67216291152265216,test5_1-1_o,Finished,12005,0
67216291722690560,test2_1-0,Finished,45934,16652
67216287889096704,test1_0-0,Finished,39357,15974
67216282470055936,test4_1-0_o,Finished,11008,0
67216284609150976,test5_1-1_o,Finished,12011,0
67216291085156352,test3_1-1,Finished,47857,18218
67216283820621824,test2_1-0,Finished,43201,15985
67216282621050880,test4_1-0_o,Finished,11011,0
67216284139388928,test3_1-1,Finished,43569,16146
67216289784922112,test6_0-0_o,Finished,54395,19391
67216287176065024,test5_1-1_o,Finished,12006,0
67216284416212992,test1_0-0,Finished,43071,16365
67216282134511616,test6_0-0_o,Finished,50409,19283
67216283468300288,test2_1-0,Finished,42051,16215
67216290959327232,test1_0-0,Finished,40497,15892
67216289768144896,test4_1-0_o,Finished,11012,0
