id,runtime,status,elapsed,consumed
66947678570807296,test1_0-0,Finished,16758,16752
66947680793788416,test2_1-0,Finished,18280,17275
66947678281400320,test2_1-0,Finished,17446,16438
66947678587584512,test3_1-1,Finished,18075,16069
66947678109433856,test6_0-0_o,Finished,21727,20721
66947681699758080,test2_1-0,Finished,17262,16255
66947675139866624,test6_0-0_o,Finished,20388,19382
66947674695270400,test1_0-0,Finished,19608,19602
66947679145426944,test3_1-1,Finished,19726,17719
66947681410351104,test3_1-1,Finished,35695,16694
66947676607873024,test1_0-0,Finished,16861,16855
66947677576757248,test2_1-0,Finished,17674,16668
66947681007697920,test3_1-1,Finished,18196,16190
66947679954927616,test4_1-0_o,Finished,35961,0
66947681968193536,test4_1-0_o,Finished,37355,0
66947681716535296,test4_1-0_o,Finished,22059,0
66947674636550144,test6_0-0_o,Finished,20066,19060
66947676159082496,test1_0-0,Finished,16332,16325
66947678654693376,test5_1-1_o,Finished,36513,0
66947680948977664,test2_1-0,Finished,16598,15592
66947676096167936,test6_0-0_o,Finished,20997,19992
66947679543885824,test3_1-1,Finished,18455,16448
66947677287350272,test4_1-0_o,Finished,23243,0
66947681276133376,test5_1-1_o,Finished,42796,0
66947675534131200,test5_1-1_o,Finished,26447,0
66947681070612480,test5_1-1_o,Finished,26595,0
66947676498821120,test6_0-0_o,Finished,20007,19000
66947675701903360,test1_0-0,Finished,16198,16192
66947675659960320,test2_1-0,Finished,17446,16440
66947674611384320,test3_1-1,Finished,18339,16332
66947675274084352,test4_1-0_o,Finished,29650,0
66947679325782016,test1_0-0,Finished,16574,16568
66947681326465024,test5_1-1_o,Finished,30855,0
66947679174787072,test1_0-0,Finished,16372,16365
66947677958438912,test6_0-0_o,Finished,20742,19736
66947680852508672,test3_1-1,Finished,17753,15747
66947675609628672,test2_1-0,Finished,19584,15757
66947677245407232,test5_1-1_o,Finished,22005,0
66947680110116864,test4_1-0_o,Finished,23117,0
66947680844120064,test2_1-0,Finished,17751,16330
66947680022036480,test6_0-0_o,Finished,19847,18842
66947679753601024,test4_1-0_o,Finished,21004,0
66947680768622592,test5_1-1_o,Finished,22921,0
66947679745212416,test3_1-1,Finished,20468,16891
66947681867530240,test4_1-0_o,Finished,21005,0
66947676951805952,test6_0-0_o,Finished,20112,19106
66947680718290944,test5_1-1_o,Finished,22004,0
66947676809199616,test1_0-0,Finished,23968,16273
66947680495992832,test2_1-0,Finished,23241,16404
66947675576074240,test4_1-0_o,Finished,21006,0
66947679158009856,test5_1-1_o,Finished,22004,0
66947674867236864,test3_1-1,Finished,25205,16104
66947677161521152,test1_0-0,Finished,20675,15756
66947680827342848,test6_0-0_o,Finished,23743,18686
66947677723557888,test2_1-0,Finished,22484,16511
66947675978727424,test4_1-0_o,Finished,21004,0
66947678809882624,test5_1-1_o,Finished,22004,0
66947680231751680,test1_0-0,Finished,22002,15947
66947681758478336,test3_1-1,Finished,24556,16497
66947681368408064,test4_1-0_o,Finished,21005,0
66947678830854144,test2_1-0,Finished,17133,16126
66947677195075584,test5_1-1_o,Finished,22005,0
66947679678103552,test1_0-0,Finished,17855,17848
66947681955610624,test2_1-0,Finished,32068,18067
66947675836121088,test5_1-1_o,Finished,22005,0
66947682102411264,test2_1-0,Finished,18129,17123
66947679443222528,test3_1-1,Finished,18009,16003
66947678969266176,test6_0-0_o,Finished,35634,20700
66947675152449536,test1_0-0,Finished,16841,16834
66947676263940096,test2_1-0,Finished,16859,15853
66947675752235008,test1_0-0,Finished,36081,17133
66947678893768704,test3_1-1,Finished,39261,19315
66947676624650240,test3_1-1,Finished,18981,16976
66947678814076928,test6_0-0_o,Finished,21222,20216
66947675089534976,test6_0-0_o,Finished,39031,21965
66947680609239040,test4_1-0_o,Finished,36191,0
66947674896596992,test1_0-0,Finished,19380,19374
66947675668348928,test3_1-1,Finished,39375,20370
66947680982532096,test6_0-0_o,Finished,22876,21869
66947680194002944,test2_1-0,Finished,17075,16069
66947680462438400,test4_1-0_o,Finished,34853,0
66947679376113664,test1_0-0,Finished,16987,16981
66947679191564288,test3_1-1,Finished,18954,16948
66947676029059072,test4_1-0_o,Finished,31007,0
66947675542519808,test6_0-0_o,Finished,40032,20029
66947674632355840,test5_1-1_o,Finished,36129,0
66947678478532608,test2_1-0,Finished,17875,16868
66947675492188160,test6_0-0_o,Finished,21622,20615
66947676725313536,test3_1-1,Finished,18797,16791
66947679904595968,test4_1-0_o,Finished,23827,0
66947681724923904,test5_1-1_o,Finished,23905,0
66947677518036992,test1_0-0,Finished,17089,17082
66947677828415488,test2_1-0,Finished,16592,15586
66947680676347904,test6_0-0_o,Finished,19922,18916
66947681112555520,test4_1-0_o,Finished,21005,0
66947680823148544,test5_1-1_o,Finished,38220,0
66947676574318592,test3_1-1,Finished,18445,16437
66947676079390720,test4_1-0_o,Finished,21005,0
66947679820709888,test6_0-0_o,Finished,19690,18684
66947677765500928,test1_0-0,Finished,16597,16591
66947679912984576,test5_1-1_o,Finished,26860,0
66947677174104064,test2_1-0,Finished,16713,15707
66947677295738880,test5_1-1_o,Finished,26006,0
66947681808809984,test3_1-1,Finished,18177,16170
66947675550908416,test1_0-0,Finished,16057,16050
66947677895524352,test4_1-0_o,Finished,21005,0
