timestamp,core_0,core_1,core_2,core_3
0,0,0,0,0
1,73.52941,31.25,82.85715,57.575756
2,100,100,100,100
3,100,100,100,100
4,100,100,100,90.2439
5,100,80,100,100
6,100,100,100,100
7,100,100,100,100
8,53.846157,100,52.499996,100
9,53.846157,100,52.499996,100
10,82.5,100,92.10526,100
11,100,70,100,100
12,100,70,100,100
13,100,46.153847,100,100
14,100,46.153847,100,100
15,17.5,92.68293,100,100
16,17.5,92.68293,100,100
17,42.5,90,100,100
18,100,100,100,100
19,100,95,100,100
20,100,100,100,100
21,100,100,100,100
22,100,100,40,100
23,100,100,65,100
24,100,100,100,100
25,100,100,100,100
26,100,100,100,100
27,85,100,100,100
28,85,100,100,100
29,100,100,100,100
30,100,100,100,100
31,100,46.153847,100,100
32,100,0,100,100
33,75,60.000004,100,100
34,100,100,100,100
35,100,100,100,100
36,100,17.5,100,42.5
37,100,0,100,0
38,100,0,100,0
39,100,0,100,10
40,100,0,100,100
41,100,0,100,100
42,100,0,27.5,100
43,100,0,27.5,100
44,100,38.46154,47.5,100
45,100,38.46154,47.5,100
46,28.947369,100,80,100
47,100,100,100,100
48,100,100,100,100
49,100,100,94.871796,100
50,100,100,94.871796,100
51,92.30769,100,100,100
52,100,100,100,100
53,100,100,100,100
54,100,100,100,100
55,100,100,100,100
56,100,100,100,75
57,100,100,100,75
58,100,100,52.499996,90
59,100,35,0,0
60,100,35,0,0
61,35.897438,85.36585,0,100
62,35.897438,85.36585,0,100
63,100,100,0,90
64,100,100,0,90
65,100,100,50,0
66,100,100,100,0
67,100,100,89.47369,0
68,100,100,89.47369,0
69,100,100,100,7.692308
70,100,100,100,7.692308
71,97.5,100,100,100
72,97.5,100,100,100
73,97.5,100,100,100
74,100,26.31579,100,100
75,100,100,100,100
76,100,100,100,100
77,100,100,41.025642,64.10257
78,100,100,41.025642,64.10257
79,95.12195,100,0,52.499996
80,95.12195,100,0,52.499996
81,100,100,12.5,100
82,100,100,12.5,100
83,74.35898,100,90,92.30769
84,74.35898,100,90,92.30769
85,95,55,100,100
86,100,0,100,100
87,100,0,100,100
88,100,92.68293,100,90
89,100,92.68293,100,90
90,100,100,100,100
91,100,100,100,100
92,100,47.5,100,89.74359
93,100,47.5,100,89.74359
94,100,100,67.5,100
95,100,100,100,100
96,100,100,100,100
97,94.871796,17.5,100,100
98,100,0,100,100
99,100,0,100,100
100,100,0,100,100
101,100,80.952385,100,100
102,100,100,89.47369,100
103,100,100,100,75
104,100,100,100,75
105,100,100,100,56.09756
106,100,100,100,56.09756
107,100,100,100,100
108,100,100,100,100
109,100,100,100,100
110,100,100,100,100
111,100,100,37.5,100
112,100,100,37.5,100
113,100,100,97.5,100
114,100,100,100,100
115,5.263158,100,50,100
116,5.263158,100,50,100
117,0,53.65854,0,100
118,0,53.65854,0,100
119,0,0,0,45
120,0,0,15.000001,0
121,0,0,15.000001,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,2.5,0,2.4390242,0
135,2.5,0,2.4390242,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,2.5,0
141,0,0,2.5,0
