job_id,runtime,elapsed_ms
65966886856163332,pleiades+example,Finished,24
65966886893912066,pleiades+example,Finished,21
65966886856163331,pleiades+example,Finished,18
65966886860357635,pleiades+example,Finished,16
65966886877134854,pleiades+example,Finished,18
65966886885523457,pleiades+example,Finished,17
65966886881329152,pleiades+example,Finished,14
65966886889717760,pleiades+example,Finished,19
65966886864551937,pleiades+example,Finished,13
65966886872940546,pleiades+example,Finished,14
65966886881329160,pleiades+example,Finished,12
65966886864551943,pleiades+example,Finished,13
65966886877134855,pleiades+example,Finished,13
65966886872940545,pleiades+example,Finished,14
65966886856163333,pleiades+example,Finished,18
65966886860357641,pleiades+example,Finished,14
65966886860357636,pleiades+example,Finished,14
65966886860357634,pleiades+example,Finished,13
65966886860357642,pleiades+example,Finished,14
65966886864551946,pleiades+example,Finished,19
65966886877134856,pleiades+example,Finished,13
65966886885523458,pleiades+example,Finished,15
65966886864551941,pleiades+example,Finished,15
65966886877134849,pleiades+example,Finished,15
65966886856163328,pleiades+example,Finished,12
65966886885523460,pleiades+example,Finished,13
65966886877134850,pleiades+example,Finished,29
65966886881329155,pleiades+example,Finished,16
65966886860357647,pleiades+example,Finished,13
65966886889717763,pleiades+example,Finished,17
65966886851969024,pleiades+example,Finished,14
65966886860357639,pleiades+example,Finished,14
65966886893912067,pleiades+example,Finished,14
65966886881329159,pleiades+example,Finished,13
65966886881329157,pleiades+example,Finished,13
65966886860357632,pleiades+example,Finished,46
65966886877134858,pleiades+example,Finished,40
65966886860357638,pleiades+example,Finished,28
65966886889717765,pleiades+example,Finished,17
65966886881329156,pleiades+example,Finished,15
65966886881329154,pleiades+example,Finished,13
65966886893912064,pleiades+example,Finished,15
65966886877134857,pleiades+example,Finished,15
65966886864551948,pleiades+example,Finished,15
65966886860357646,pleiades+example,Finished,18
65966886864551947,pleiades+example,Finished,13
65966886864551942,pleiades+example,Finished,15
65966886860357648,pleiades+example,Finished,22
65966886889717761,pleiades+example,Finished,14
65966886885523456,pleiades+example,Finished,13
65966886885523461,pleiades+example,Finished,16
65966886872940547,pleiades+example,Finished,15
65966886872940544,pleiades+example,Finished,17
65966886872940551,pleiades+example,Finished,15
65966886889717762,pleiades+example,Finished,17
65966886868746243,pleiades+example,Finished,14
65966886864551938,pleiades+example,Finished,13
65966886860357645,pleiades+example,Finished,13
65966886877134848,pleiades+example,Finished,13
65966886877134851,pleiades+example,Finished,15
65966886868746242,pleiades+example,Finished,13
65966886860357640,pleiades+example,Finished,15
65966886860357637,pleiades+example,Finished,14
65966886864551945,pleiades+example,Finished,15
65966886856163329,pleiades+example,Finished,14
65966886881329158,pleiades+example,Finished,16
65966886868746245,pleiades+example,Finished,14
65966886889717769,pleiades+example,Finished,16
65966886885523459,pleiades+example,Finished,20
65966886881329153,pleiades+example,Finished,20
65966886877134853,pleiades+example,Finished,15
65966886868746244,pleiades+example,Finished,14
65966886872940552,pleiades+example,Finished,16
65966886860357633,pleiades+example,Finished,17
65966886872940553,pleiades+example,Finished,13
65966886881329161,pleiades+example,Finished,17
65966886864551939,pleiades+example,Finished,17
65966886889717764,pleiades+example,Finished,16
65966886864551940,pleiades+example,Finished,14
65966886893912065,pleiades+example,Finished,25
65966886860357644,pleiades+example,Finished,14
65966886856163330,pleiades+example,Finished,16
65966886868746240,pleiades+example,Finished,20
65966886889717766,pleiades+example,Finished,20
65966886868746241,pleiades+example,Finished,25
65966886864551936,pleiades+example,Finished,13
65966886860357643,pleiades+example,Finished,29
65966886893912068,pleiades+example,Finished,16
65966886872940550,pleiades+example,Finished,14
65966886868746247,pleiades+example,Finished,16
65966886885523462,pleiades+example,Finished,19
65966886864551944,pleiades+example,Finished,17
65966886872940549,pleiades+example,Finished,18
65966886872940548,pleiades+example,Finished,17
65966886877134859,pleiades+example,Finished,16
65966886868746246,pleiades+example,Finished,16
65966886877134852,pleiades+example,Finished,17
65966886889717767,pleiades+example,Finished,16
65966886893912069,pleiades+example,Finished,19
65966886889717768,pleiades+example,Finished,22
