job_id,runtime,elapsed_ms
65969295057747973,pleiades+example,Finished,324
65969295061942273,pleiades+example,Finished,332
65969295036776448,pleiades+example,Finished,321
65969295045165056,pleiades+example,Finished,320
65969295040970760,pleiades+example,Finished,317
65969295066136576,pleiades+example,Finished,315
65969295040970758,pleiades+example,Finished,315
65969295057747969,pleiades+example,Finished,314
65969295061942272,pleiades+example,Finished,315
65969295053553667,pleiades+example,Finished,311
65969295061942278,pleiades+example,Finished,322
65969295040970752,pleiades+example,Finished,316
65969295057747976,pleiades+example,Finished,315
65969295032582153,pleiades+example,Finished,314
65969295053553664,pleiades+example,Finished,314
65969295040970754,pleiades+example,Finished,311
65969295066136585,pleiades+example,Finished,312
65969295036776460,pleiades+example,Finished,325
65969281317208070,pleiades+example,Finished,1030
65969295045165061,pleiades+example,Finished,318
65969295053553670,pleiades+example,Finished,316
65969295061942275,pleiades+example,Finished,313
65969295040970753,pleiades+example,Finished,324
65969281338179587,pleiades+example,Finished,1012
65969295053553666,pleiades+example,Finished,311
65969295066136581,pleiades+example,Finished,311
65969295061942276,pleiades+example,Finished,330
65969281325596678,pleiades+example,Finished,1019
65969295053553672,pleiades+example,Finished,319
65969295036776454,pleiades+example,Finished,321
65969295024193537,pleiades+example,Finished,319
65969295036776461,pleiades+example,Finished,314
65969281321402372,pleiades+example,Finished,1013
65969295036776467,pleiades+example,Finished,313
65969295036776463,pleiades+example,Finished,313
65969295032582144,pleiades+example,Finished,313
65969281313013765,pleiades+example,Finished,1011
