timestamp, usage
0,0
1,74.86727
2,80.21024
3,84.4027
4,81.94157
5,80.26031
6,84.769295
7,84.06107
8,83.859726
9,83.00929
10,80.25066
11,80.23631
12,82.4141
13,85.17314
14,85.19008
15,84.77659
16,85.130264
17,85.18238
18,85.14026
19,85.195335
20,88.76428
21,90.151924
22,90.19447
23,90.14034
24,89.79134
25,90.130165
26,89.89129
27,90.170204
28,88.19157
29,89.3823
30,89.14018
31,85.190445
32,85.222595
33,81.79028
34,86.27599
35,85.4698
36,85.26032
37,85.23016
38,85.29036
39,85.22774
40,85.75
41,83.35978
42,80.30042
43,82.55625
44,88.830376
45,89.08821
46,82.24605
47,72.46129
48,13.023517
