id,runtime,status,elapsed,consumed
67216760478105600,test5_1-1_o,Finished,12006,0
67216760033509376,test1_0-0,Finished,43205,16039
67216759110762496,test6_0-0_o,Finished,50137,19048
67216763665776640,test2_1-0,Finished,45662,16558
67216761367298048,test3_1-1,Finished,44922,15970
67216763221180416,test4_1-0_o,Finished,11012,0
67216759681187840,test1_0-0,Finished,43462,15923
67216763648999424,test5_1-1_o,Finished,12005,0
67216764697575424,test6_0-0_o,Finished,53602,19417
67216759890903040,test2_1-0,Finished,45299,16300
67216759203037184,test3_1-1,Finished,45334,16848
67216764630466560,test4_1-0_o,Finished,11005,0
67216757365932032,test1_0-0,Finished,42557,16435
67216758615834624,test5_1-1_o,Finished,12012,0
67216766484348928,test2_1-0,Finished,44822,16018
67216760016732160,test6_0-0_o,Finished,51301,19058
67216758137683968,test4_1-0_o,Finished,11015,0
67216760486494208,test1_0-0,Finished,44257,16297
67216759454695424,test3_1-1,Finished,45873,16131
67216766509514752,test6_0-0_o,Finished,50923,19234
67216764110372864,test1_0-0,Finished,40482,15707
67216763347009536,test5_1-1_o,Finished,12010,0
67216765192503296,test3_1-1,Finished,44480,16814
67216762566868992,test4_1-0_o,Finished,11004,0
67216760092229632,test2_1-0,Finished,47004,17250
67216761199525888,test2_1-0,Finished,43656,15780
67216764999565312,test6_0-0_o,Finished,50240,19316
67216760276779008,test5_1-1_o,Finished,12008,0
67216757491761152,test3_1-1,Finished,43713,16443
67216765234446336,test4_1-0_o,Finished,11008,0
67216759177871360,test1_0-0,Finished,45107,16136
67216760394219520,test2_1-0,Finished,44160,16093
67216759773462528,test5_1-1_o,Finished,12007,0
67216757500149760,test6_0-0_o,Finished,52631,19842
67216758699720704,test3_1-1,Finished,43900,16003
67216758842327040,test4_1-0_o,Finished,11015,0
67216756904558592,test5_1-1_o,Finished,12009,0
67216757625978880,test2_1-0,Finished,43223,16626
67216761946112000,test1_0-0,Finished,44609,16270
67216759152705536,test3_1-1,Finished,43786,15953
67216762029998080,test6_0-0_o,Finished,53521,19425
67216762550091776,test1_0-0,Finished,41558,16022
67216763011465216,test2_1-0,Finished,41801,16347
67216762466205696,test4_1-0_o,Finished,11006,0
67216762592034816,test5_1-1_o,Finished,12006,0
67216760310333440,test3_1-1,Finished,42954,16181
67216758758440960,test6_0-0_o,Finished,50937,19112
67216765486104576,test4_1-0_o,Finished,11009,0
67216759882514432,test1_0-0,Finished,41237,16278
67216766064918528,test5_1-1_o,Finished,12009,0
67216765024731136,test2_1-0,Finished,43784,15911
67216766106861568,test6_0-0_o,Finished,52025,19213
67216765293166592,test3_1-1,Finished,44287,16276
67216757835694080,test4_1-0_o,Finished,11009,0
67216759379197952,test1_0-0,Finished,41435,16718
67216756694843392,test6_0-0_o,Finished,48934,18829
67216760327110656,test5_1-1_o,Finished,12005,0
67216758984933376,test2_1-0,Finished,42758,16387
67216762516537344,test4_1-0_o,Finished,11005,0
67216764185870336,test3_1-1,Finished,46195,16139
67216760385830912,test1_0-0,Finished,43397,16549
67216760578768896,test5_1-1_o,Finished,12006,0
67216765049896960,test6_0-0_o,Finished,49520,19008
67216757793751040,test3_1-1,Finished,43675,15720
67216761954500608,test2_1-0,Finished,44064,16180
67216761962889216,test4_1-0_o,Finished,11009,0
67216766526291968,test1_0-0,Finished,43611,16494
67216762340376576,test5_1-1_o,Finished,12006,0
67216758708109312,test6_0-0_o,Finished,51906,19323
67216765091840000,test3_1-1,Finished,43805,16353
67216757818916864,test1_0-0,Finished,42812,16097
67216757776973824,test2_1-0,Finished,47910,18173
67216758104129536,test6_0-0_o,Finished,49528,19298
67216764982788096,test4_1-0_o,Finished,11009,0
67216764471083008,test2_1-0,Finished,43868,16299
67216760981422080,test5_1-1_o,Finished,12010,0
67216760989810688,test1_0-0,Finished,41193,16383
67216761216303104,test3_1-1,Finished,43619,16310
67216761560236032,test4_1-0_o,Finished,11008,0
67216761073696768,test6_0-0_o,Finished,50970,19306
67216766283022336,test2_1-0,Finished,43787,16698
67216757307211776,test5_1-1_o,Finished,12004,0
67216761090473984,test1_0-0,Finished,41988,15908
67216757995077632,test3_1-1,Finished,45024,16120
67216761107251200,test4_1-0_o,Finished,11008,0
67216760729763840,test5_1-1_o,Finished,12010,0
67216764622077952,test2_1-0,Finished,44166,16337
67216757667921920,test1_0-0,Finished,41370,16323
67216763741274112,test6_0-0_o,Finished,53714,18980
67216762071941120,test3_1-1,Finished,45253,15616
67216763271512064,test4_1-0_o,Finished,11005,0
67216761283411968,test5_1-1_o,Finished,12005,0
67216761753174016,test2_1-0,Finished,45007,16396
67216765905534976,test6_0-0_o,Finished,52631,19402
67216763170848768,test4_1-0_o,Finished,11014,0
67216763229569024,test3_1-1,Finished,46360,16134
67216758464839680,test5_1-1_o,Finished,12008,0
67216760335499264,test1_0-0,Finished,44604,16210
67216760041897984,test2_1-0,Finished,44513,15907
67216764445917184,test6_0-0_o,Finished,54826,19835
67216759345643520,test4_1-0_o,Finished,11015,0
67216762021609472,test3_1-1,Finished,45776,16235
67216757323988992,test2_1-0,Finished,40486,16356
67216765561602048,test5_1-1_o,Finished,12005,0
67216762902413312,test1_0-0,Finished,44160,16692
67216765746151424,test3_1-1,Finished,43743,16465
67216757701476352,test6_0-0_o,Finished,53036,19370
67216764873736192,test2_1-0,Finished,40614,16315
67216766039752704,test4_1-0_o,Finished,11006,0
67216760184504320,test1_0-0,Finished,43174,16953
67216762885636096,test6_0-0_o,Finished,51672,19027
67216762541703168,test5_1-1_o,Finished,12019,0
67216766593400832,test4_1-0_o,Finished,11014,0
67216764689186816,test3_1-1,Finished,45959,16134
67216765913923584,test5_1-1_o,Finished,12007,0
67216758129295360,test2_1-0,Finished,43493,16404
67216762197770240,test1_0-0,Finished,44816,16601
67216757768585216,test1_0-0,Finished,41996,16157
67216758305456128,test6_0-0_o,Finished,53289,20155
67216761870614528,test3_1-1,Finished,44991,16149
67216759597301760,test4_1-0_o,Finished,11009,0
67216760897536000,test2_1-0,Finished,43173,16517
67216759421140992,test5_1-1_o,Finished,12014,0
67216766207524864,test6_0-0_o,Finished,50007,19730
67216760536825856,test1_0-0,Finished,42301,15857
67216759496638464,test4_1-0_o,Finished,11004,0
67216757953134592,test6_0-0_o,Finished,49961,18924
67216765444161536,test3_1-1,Finished,49096,18066
67216762743029760,test5_1-1_o,Finished,12012,0
67216761518292992,test3_1-1,Finished,45004,15965
67216756929724416,test4_1-0_o,Finished,11016,0
67216766375297024,test1_0-0,Finished,42856,17254
67216758406119424,test6_0-0_o,Finished,50571,18786
67216763850326016,test5_1-1_o,Finished,12020,0
67216762910801920,test2_1-0,Finished,43292,16031
67216759001710592,test3_1-1,Finished,45209,16181
67216766022975488,test1_0-0,Finished,40645,16002
67216765939089408,test4_1-0_o,Finished,11009,0
67216758162849792,test5_1-1_o,Finished,12015,0
67216757676310528,test2_1-0,Finished,42161,16370
67216757575647232,test2_1-0,Finished,54674,21477
67216761023365120,test6_0-0_o,Finished,51160,19267
67216765184114688,test4_1-0_o,Finished,11012,0
67216762524925952,test3_1-1,Finished,45991,16542
67216763045019648,test5_1-1_o,Finished,12008,0
67216757214937088,test1_0-0,Finished,42937,16225
67216765603545088,test6_0-0_o,Finished,51823,18878
67216756829061120,test4_1-0_o,Finished,11008,0
67216766626955264,test1_0-0,Finished,43058,16203
67216756686454784,test3_1-1,Finished,47988,16316
67216759924457472,test5_1-1_o,Finished,12005,0
67216758498394112,test3_1-1,Finished,42904,16162
67216763464450048,test2_1-0,Finished,43774,16172
67216766660509696,test6_0-0_o,Finished,52309,19570
67216763061796864,test2_1-0,Finished,50658,18063
67216766442405888,test4_1-0_o,Finished,11008,0
67216761392463872,test1_0-0,Finished,44845,16352
67216757558870016,test5_1-1_o,Finished,12011,0
67216763439284224,test6_0-0_o,Finished,53413,19168
67216765922312192,test1_0-0,Finished,40166,15968
67216757340766208,test3_1-1,Finished,45703,16151
67216762919190528,test4_1-0_o,Finished,11007,0
67216766232690688,test2_1-0,Finished,43605,15961
67216761266634752,test3_1-1,Finished,43456,15879
67216765754540032,test6_0-0_o,Finished,52342,19032
67216756703232000,test5_1-1_o,Finished,12026,0
67216765972643840,test1_0-0,Finished,43775,15707
67216760545214464,test2_1-0,Finished,52414,19198
67216766492737536,test4_1-0_o,Finished,11010,0
67216763816771584,test2_1-0,Finished,43649,16594
67216761837060096,test5_1-1_o,Finished,12012,0
67216762499760128,test1_0-0,Finished,40623,15896
67216758951378944,test3_1-1,Finished,44386,16327
67216760645877760,test2_1-0,Finished,40471,15845
67216757147828224,test6_0-0_o,Finished,54578,21496
67216761912557568,test4_1-0_o,Finished,11012,0
67216757407875072,test5_1-1_o,Finished,12005,0
67216765553213440,test6_0-0_o,Finished,53346,19108
67216756988444672,test3_1-1,Finished,45388,16702
