timestamp,core_0
0,0
1,32
2,49
3,58
4,62
5,44
6,57
7,73
8,67
9,73
10,69
11,70
12,69
13,54
14,44
15,46
16,56
17,54
18,57
19,58
20,56
21,63
22,58
23,64
24,40
