timestamp,usage
0,76.5353
1,75.345085
2,80.271935
3,75.198845
4,80.37842
5,77.83708
6,77.182686
7,74.90031
8,76.12495
9,80.79858
10,78.138855
11,79.186935
12,76.89304
13,76.66331
14,78.025215
15,79.97546
16,78.56768
17,77.73261
18,79.42741
19,76.16371
20,77.36674
21,76.38978
22,76.48995
23,77.02824
24,77.81901
25,79.94311
26,77.85605
27,76.8346
28,77.94106
29,78.173195
30,77.268524
31,79.07653
32,79.27038
33,80.532295
34,76.97216
35,74.80082
36,78.129364
37,77.282814
38,80.46351
39,78.15041
40,76.56773
41,75.187515
42,77.325005
43,80.05445
44,78.98626
45,77.52473
46,78.7064
47,79.7356
48,77.0122
49,77.280426
50,80.0657
51,78.205475
52,75.748795
53,75.14225
54,78.9654
55,79.32036
56,76.0835
57,81.56312
58,76.02284
59,78.08581
60,78.17373
61,78.60492
62,79.26111
63,78.72939
64,75.79791
65,78.176674
66,77.301476
67,78.68217
68,74.139824
69,81.0868
70,79.19383
71,77.94807
72,75.1706
73,76.55439
74,79.33999
75,80.128716
76,77.03961
77,79.93672
78,79.86348
79,76.86285
80,77.656044
81,77.4008
82,76.69697
83,74.669655
84,77.53463
85,80.9847
86,78.775185
87,81.75875
88,76.74258
89,74.78583
90,79.99184
91,77.99622
92,78.054504
93,77.3284
94,78.850266
95,78.16476
96,79.04048
97,77.447655
98,78.27611
99,78.51594
100,79.332054
101,76.86791
102,79.35282
103,78.44883
104,76.11551
105,78.42086
106,78.66845
107,79.0477
108,76.67801
109,75.52747
110,80.12771
111,80.27584
112,76.76389
113,77.47861
114,78.52932
115,78.0981
116,77.33495
117,77.63438
118,77.95431
119,78.700874
120,77.98931
121,77.435104
122,81.35414
123,79.08203
124,75.711876
125,78.67114
126,80.49233
127,78.72293
128,73.77446
129,76.051895
130,76.03544
131,79.51667
132,80.03367
133,81.17163
134,76.70247
135,78.56126
136,79.87521
137,79.61927
138,78.194565
139,75.81943
140,77.24268
141,77.55311
142,81.821075
143,75.97953
144,77.537155
145,79.24783
146,78.18255
147,76.343666
148,79.16765
149,80.051155
150,77.5133
151,79.06191
152,75.43196
153,79.364914
154,80.49067
155,79.534706
156,74.66656
157,75.82894
158,78.83959
159,80.89425
160,80.76013
161,76.79797
162,74.9518
163,77.392296
164,79.98496
165,76.76914
166,78.52531
167,78.2763
168,78.86334
169,80.23263
170,78.58547
171,75.902306
172,81.90292
173,80.16413
174,75.530174
175,76.307884
176,77.89255
177,78.516685
178,78.09384
179,79.21716
180,77.482544
