timestamp,usage
0,95.283936
1,99.890915
2,99.890915
3,100
4,99.58182
5,100
6,100
7,99.51818
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,99.90909
19,99.99089
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,99.33636
32,99.69091
33,100
34,100
35,100
36,100
37,98.42554
38,100
39,99.93639
40,99.14714
41,100
42,96.866646
43,100
44,100
45,100
46,100
47,99.44546
48,100
49,100
50,99.09091
51,100
52,99.44546
53,100
54,100
55,99.09273
56,97.18142
57,96.79359
58,100
59,98.827545
60,99.26364
