timestamp,usage
0,74.32285
1,76.21091
2,76.0581
3,73.36643
4,77.709274
5,77.27052
6,74.92276
7,74.235756
8,77.10683
9,75.263794
10,75.20991
11,73.774284
12,75.65459
13,74.528656
14,76.03851
15,74.551544
16,76.14347
17,77.27243
18,76.38433
19,76.90834
20,74.57628
21,74.46134
22,76.16211
23,76.83221
24,76.10761
25,74.81561
26,71.56398
27,78.534164
28,75.042885
29,74.70799
30,75.96573
31,75.85549
32,75.082344
33,77.206245
34,75.8458
35,75.66953
36,77.46161
37,74.67323
38,73.5984
39,73.08645
40,77.7197
41,76.56846
42,72.832695
43,75.11217
44,76.69536
45,76.050064
46,77.59992
47,73.1813
48,73.08887
49,75.636795
50,80.11847
51,74.59871
52,75.90846
53,74.57099
54,76.11616
55,75.84417
56,75.729195
57,77.268555
58,75.49461
59,73.03017
60,76.46477
61,77.271866
62,76.86595
63,76.80956
64,74.93142
65,73.5841
66,74.76817
67,77.087326
68,74.726685
69,74.613945
70,77.9619
71,76.155045
72,76.46633
73,76.756256
74,77.517746
75,75.36665
76,72.59483
77,76.557205
78,77.279785
79,73.068115
80,75.61814
81,76.08813
82,77.13452
83,75.71773
84,74.84134
85,77.012024
86,75.828964
87,76.5218
88,74.21427
89,77.241776
90,77.17838
91,74.63425
92,75.1682
93,74.87096
94,74.979454
95,72.70593
96,77.545555
97,75.85722
98,75.39232
99,76.8008
100,75.04334
101,76.83216
102,74.80241
103,76.62082
104,76.67235
105,76.2005
106,77.262596
107,73.738075
108,75.07774
109,75.259926
110,77.392746
111,77.22148
112,72.98518
113,72.02511
114,77.78429
115,76.273605
116,75.09158
117,76.66745
118,79.73607
119,76.24368
120,74.49353
121,74.458115
122,77.73984
123,76.423836
124,76.8619
125,76.24363
126,76.35327
127,75.255714
128,73.806335
129,77.20006
130,74.96457
131,75.44353
132,77.78
133,76.77563
134,75.72749
135,76.82
136,74.287415
137,78.45103
138,75.39903
139,75.48779
140,73.057335
141,75.42888
142,75.98982
143,78.385025
144,77.88052
145,77.91981
146,74.24727
147,74.17441
148,75.61647
149,75.7903
150,75.19002
151,77.39797
152,74.70592
153,78.004234
154,76.97021
155,74.322784
156,73.00031
157,76.1968
158,76.66449
159,76.49547
160,77.235916
161,76.22838
162,76.24481
163,77.79938
164,75.086136
165,77.73509
166,73.20943
167,76.145996
168,77.17192
169,75.02104
170,77.01669
171,75.57483
172,76.09012
173,74.55177
174,77.41991
175,76.96906
176,76.24477
177,71.47376
178,77.14113
179,76.407906
180,76.819855
